"","Antal laddhybrider","Antal elbilar","Antal laddbara fordon","Laddbara fordon/capita","Antal laddpunkter","Antal laddstationer","DC laddstationer","LP/capita","LP/personbil","CPEV","% av Sveriges laddbara personbilar finns i länet"
"BLEKINGE LÄN","3712.0","3688.0","7610","4.84","884","187","37","0.56","1.03","0.12","0.98"
"DALARNAS LÄN","7398.0","6496.0","14535","5.07","1857","373","104","0.65","1.1","0.13","1.84"
"GOTLANDS LÄN","1004.0","1455.0","2655","4.35","473","112","16","0.78","1.29","0.18","0.33"
"GÄVLEBORGS LÄN","6224.0","6134.0","13179","4.63","1596","289","84","0.56","1.05","0.12","1.63"
"HALLANDS LÄN","9500.0","13586.0","24201","7.01","2147","268","71","0.62","1.18","0.09","3.05"
"JÄMTLANDS LÄN","2123.0","2955.0","5579","4.2","1337","224","85","1.01","1.77","0.24","0.67"
"JÖNKÖPINGS LÄN","10654.0","13180.0","25029","6.76","1852","387","96","0.5","0.96","0.07","3.15"
"KALMAR LÄN","5137.0","5594.0","11411","4.63","1696","334","77","0.69","1.26","0.15","1.42"
"KRONOBERGS LÄN","5668.0","5674.0","11849","5.83","1198","250","42","0.59","1.15","0.1","1.5"
"NORRBOTTENS LÄN","4929.0","5434.0","10988","4.42","1114","207","102","0.45","0.77","0.1","1.37"
"SKÅNE LÄN","41002.0","49490.0","94020","6.58","6493","953","219","0.45","1.01","0.07","11.97"
"STOCKHOLMS LÄN","130931.0","167897.0","318096","12.86","16309","2198","290","0.66","1.66","0.05","39.52"
"SÖDERMANLANDS LÄN","7259.0","7958.0","16073","5.33","1140","212","50","0.38","0.77","0.07","2.01"
"UPPSALA LÄN","10212.0","11412.0","22592","5.54","1554","229","58","0.38","0.9","0.07","2.86"
"VÄRMLANDS LÄN","6808.0","6284.0","13750","4.85","1319","252","86","0.47","0.84","0.1","1.73"
"VÄSTERBOTTENS LÄN","6276.0","6909.0","14088","5.01","988","186","99","0.35","0.71","0.07","1.74"
"VÄSTERNORRLANDS LÄN","5724.0","5561.0","11944","4.95","1065","219","82","0.44","0.81","0.09","1.49"
"VÄSTMANLANDS LÄN","7318.0","7363.0","15232","5.42","1353","203","72","0.48","0.98","0.09","1.94"
"VÄSTRA GÖTALANDS LÄN","50072.0","66410.0","122837","6.93","13113","1484","324","0.74","1.63","0.11","15.41"
"ÖREBRO LÄN","7296.0","7392.0","15361","4.98","1255","233","56","0.41","0.82","0.08","1.94"
"ÖSTERGÖTLANDS LÄN","12391.0","13547.0","27305","5.78","1838","299","100","0.39","0.83","0.07","3.43"
